,0,1,2,3,4
89,,Türev Finansal Araçların Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Düzeltmeler,,,
90,Türev Finansal Araçların Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Düzeltmeler,,,,
91,,Canlı Varlıklar veya Tarımsal Ürünlerin Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Düzeltmeler,,,
92,Canlı Varlıklar veya Tarımsal Ürünlerin Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Düzeltmeler,,,,
93,,Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Diğer Düzeltmeler,,,
94,Gerçeğe Uygun Değer Kayıpları (Kazançları) ile İlgili Diğer Düzeltmeler,,,,
95,,Özkaynak Yöntemiyle Değerlenen Yatırımların Dağıtılmamış Karları ile İlgili Düzeltmeler,16,-352.758,-216.937
96,Özkaynak Yöntemiyle Değerlenen Yatırımların Dağıtılmamış Karları ile İlgili Düzeltmeler,,,,
97,,İştiraklerin Dağıtılmamış Karları İle İlgili Düzeltmeler,,,
98,İştiraklerin Dağıtılmamış Karları İle İlgili Düzeltmeler,,,,
99,,İş Ortaklıklarının Dağıtılmamış Karları ile İlgili Düzeltmeler,,,
100,İş Ortaklıklarının Dağıtılmamış Karları ile İlgili Düzeltmeler,,,,
101,,Vergi (Geliri) Gideri İle İlgili Düzeltmeler,35,-371.403,1.853.162
102,Vergi (Geliri) Gideri İle İlgili Düzeltmeler,,,,
103,,Nakit Dışı Kalemlere İlişkin Diğer Düzeltmeler,,,
104,Nakit Dışı Kalemlere İlişkin Diğer Düzeltmeler,,,,
105,,Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) İle İlgili Düzeltmeler,33,-43.381,-57.613
106,Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) İle İlgili Düzeltmeler,,,,
107,,Maddi Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
108,Maddi Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
109,,Maddi Olmayan Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
110,Maddi Olmayan Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
111,,Yatırım Amaçlı Gayrimenkullerin Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
112,Yatırım Amaçlı Gayrimenkullerin Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
113,,Canlı Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
114,Canlı Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
115,,Diğer Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
116,Diğer Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
117,,Satış Amaçlı veya Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
118,Satış Amaçlı veya Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıkların Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
119,,"İştirak, İş ortaklığı ve Finansal Yatırımların Elden Çıkarılmasından veya Paylarındaki Değişim Sebebi ile Oluşan Kayıplar (Kazançlar) ile İlgili Düzeltmeler",33,,-422.065
120,"İştirak, İş ortaklığı ve Finansal Yatırımların Elden Çıkarılmasından veya Paylarındaki Değişim Sebebi ile Oluşan Kayıplar (Kazançlar) ile İlgili Düzeltmeler",,,,
121,,Bağlı Ortaklıkların veya Müşterek Faaliyetlerin Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,
122,Bağlı Ortaklıkların veya Müşterek Faaliyetlerin Elden Çıkarılmasından Kaynaklanan Kayıplar (Kazançlar) ile İlgili Düzeltmeler,,,,
123,,Yatırım ya da Finansman Faaliyetlerinden Kaynaklanan Nakit Akışlarına Neden Olan Diğer Kalemlere İlişkin Düzeltmeler,,,
124,Yatırım ya da Finansman Faaliyetlerinden Kaynaklanan Nakit Akışlarına Neden Olan Diğer Kalemlere İlişkin Düzeltmeler,,,,
125,,Kar (Zarar) Mutabakatı İle İlgili Diğer Düzeltmeler,,-37.524,14.600
126,Kar (Zarar) Mutabakatı İle İlgili Diğer Düzeltmeler,,,,
127,,İşletme Sermayesinde Gerçekleşen Değişimler,,-11.543.937,-643.608
128,İşletme Sermayesinde Gerçekleşen Değişimler,,,,
129,,Finansal Yatırımlardaki Azalış (Artış),,,
130,Finansal Yatırımlardaki Azalış (Artış),,,,
131,,Türkiye Cumhuriyet Merkez Bankası Hesabındaki Azalış (Artış),,,
132,Türkiye Cumhuriyet Merkez Bankası Hesabındaki Azalış (Artış),,,,
133,,Ticari Alacaklardaki Azalış (Artış) ile İlgili Düzeltmeler,,-6.471.240,407.317
134,Ticari Alacaklardaki Azalış (Artış) ile İlgili Düzeltmeler,,,,
135,,İlişkili Taraflardan Ticari Alacaklardaki Azalış (Artış),,,
136,İlişkili Taraflardan Ticari Alacaklardaki Azalış (Artış),,,,
137,,İlişkili Olmayan Taraflardan Ticari Alacaklardaki Azalış (Artış),,,
138,İlişkili Olmayan Taraflardan Ticari Alacaklardaki Azalış (Artış),,,,
139,,Finans Sektörü Faaliyetlerinden Alacaklarda Azalış (Artış),,,
140,Finans Sektörü Faaliyetlerinden Alacaklarda Azalış (Artış),,,,
141,,Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış) ile İlgili Düzeltmeler,,128.558,63.005
142,Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış) ile İlgili Düzeltmeler,,,,
143,,İlişkili Taraflardan Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış),,,
144,İlişkili Taraflardan Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış),,,,
145,,İlişkili Olmayan Taraflardan Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış),,,
146,İlişkili Olmayan Taraflardan Faaliyetlerle İlgili Diğer Alacaklardaki Azalış (Artış),,,,
147,,Müşteri Sözleşmelerinden Doğan Varlıklardaki Azalış (Artış) İle İlgili Düzeltmeler,,14.138,-70.705
148,Müşteri Sözleşmelerinden Doğan Varlıklardaki Azalış (Artış) İle İlgili Düzeltmeler,,,,
149,,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıklarındaki Azalış (Artış),,,
150,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıklarındaki Azalış (Artış),,,,
151,,Mal Ve Hizmet Satışlarından Doğan Sözleşme Varlıklarındaki Azalış (Artış),,,
152,Mal Ve Hizmet Satışlarından Doğan Sözleşme Varlıklarındaki Azalış (Artış),,,,
153,,Diğer Sözleşme Varlıklarındaki Azalış (Artış),,,
154,Diğer Sözleşme Varlıklarındaki Azalış (Artış),,,,
155,,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklardaki Azalış (Artış),,,
156,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklardaki Azalış (Artış),,,,
157,,Türev Varlıklardaki Azalış (Artış),,2.451.408,379.483
158,Türev Varlıklardaki Azalış (Artış),,,,
159,,Stoklardaki Azalışlar (Artışlar) İle İlgili Düzeltmeler,,-11.088.960,-3.115.441
160,Stoklardaki Azalışlar (Artışlar) İle İlgili Düzeltmeler,,,,
161,,Canlı Varlıklardaki Azalış (Artış),,,
162,Canlı Varlıklardaki Azalış (Artış),,,,
163,,Peşin Ödenmiş Giderlerdeki Azalış (Artış),,,
164,Peşin Ödenmiş Giderlerdeki Azalış (Artış),,,,
165,,Ticari Borçlardaki Artış (Azalış) ile İlgili Düzeltmeler,,3.276.707,1.978.861
166,Ticari Borçlardaki Artış (Azalış) ile İlgili Düzeltmeler,,,,
167,,İlişkili Taraflara Ticari Borçlardaki Artış (Azalış),,,
168,İlişkili Taraflara Ticari Borçlardaki Artış (Azalış),,,,
169,,İlişkili Olmayan Taraflara Ticari Borçlardaki Artış (Azalış),,,
170,İlişkili Olmayan Taraflara Ticari Borçlardaki Artış (Azalış),,,,
171,,Finans Sektörü Faaliyetlerinden Borçlardaki Artış (Azalış),,,
172,Finans Sektörü Faaliyetlerinden Borçlardaki Artış (Azalış),,,,
173,,Çalışanlara Sağlanan Faydalar Kapsamında Borçlardaki Artış (Azalış),,,
174,Çalışanlara Sağlanan Faydalar Kapsamında Borçlardaki Artış (Azalış),,,,
175,,Müşteri Sözleşmelerinden Doğan Yükümlülüklerdeki Artış (Azalış) İle İlgili Düzeltmeler,,112.000,72.624
176,Müşteri Sözleşmelerinden Doğan Yükümlülüklerdeki Artış (Azalış) İle İlgili Düzeltmeler,,,,
177,,Devam Eden İnşaat Ve Taahhüt İşlerinden Doğan Sözleşme Yükümlülüklerindeki Artış (Azalış),,,
178,Devam Eden İnşaat Ve Taahhüt İşlerinden Doğan Sözleşme Yükümlülüklerindeki Artış (Azalış),,,,
179,,Mal Ve Hizmet Satışlarından Doğan Sözleşme Yükümlülüklerindeki Artış (Azalış),,,
180,Mal Ve Hizmet Satışlarından Doğan Sözleşme Yükümlülüklerindeki Artış (Azalış),,,,
181,,Diğer Sözleşme Yükümlülüklerindeki Artış (Azalış),,,
182,Diğer Sözleşme Yükümlülüklerindeki Artış (Azalış),,,,
183,,Faaliyetler ile İlgili Diğer Borçlardaki Artış (Azalış) ile İlgili Düzeltmeler,,1.404.844,243.078
184,Faaliyetler ile İlgili Diğer Borçlardaki Artış (Azalış) ile İlgili Düzeltmeler,,,,
185,,İlişkili Taraflara Faaliyetlerle İlgili Diğer Borçlardaki Artış (Azalış),,,
186,İlişkili Taraflara Faaliyetlerle İlgili Diğer Borçlardaki Artış (Azalış),,,,
187,,İlişkili Olmayan Taraflara Faaliyetlerle İlgili Diğer Borçlardaki Artış (Azalış),,,
188,İlişkili Olmayan Taraflara Faaliyetlerle İlgili Diğer Borçlardaki Artış (Azalış),,,,
189,,Türev Yükümlülüklerdeki Artış (Azalış),,,
190,Türev Yükümlülüklerdeki Artış (Azalış),,,,
191,,Devlet Teşvik ve Yardımlarındaki Artış (Azalış),,,
192,Devlet Teşvik ve Yardımlarındaki Artış (Azalış),,,,
193,,Ertelenmiş Gelirlerdeki (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar) Artış (Azalış),,,
194,Ertelenmiş Gelirlerdeki (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar) Artış (Azalış),,,,
195,,İşletme Sermayesinde Gerçekleşen Diğer Artış (Azalış) ile İlgili Düzeltmeler,,-1.371.392,-601.830
196,İşletme Sermayesinde Gerçekleşen Diğer Artış (Azalış) ile İlgili Düzeltmeler,,,,
197,,Faaliyetlerle İlgili Diğer Varlıklardaki Azalış (Artış),,,
198,Faaliyetlerle İlgili Diğer Varlıklardaki Azalış (Artış),,,,
199,,Faaliyetlerle İlgili Diğer Yükümlülüklerdeki Artış (Azalış),,,
200,Faaliyetlerle İlgili Diğer Yükümlülüklerdeki Artış (Azalış),,,,
201,,Faaliyetlerden Elde Edilen Nakit Akışları,,14.249.323,7.268.836
202,Faaliyetlerden Elde Edilen Nakit Akışları,,,,
203,,Ödenen Temettüler,,,
204,Ödenen Temettüler,,,,
205,,Alınan Temettüler,,,
206,Alınan Temettüler,,,,
207,,Ödenen Faiz,,,
208,Ödenen Faiz,,,,
209,,Alınan Faiz,,815.881,121.205
210,Alınan Faiz,,,,
211,,Katılım (Kar) Payı ve Diğer Finansal Araçlardan Nakit Çıkışları,,,
212,Katılım (Kar) Payı ve Diğer Finansal Araçlardan Nakit Çıkışları,,,,
213,,Katılım (Kar) Payı ve Diğer Finansal Araçlardan Nakit Girişleri,,,
214,Katılım (Kar) Payı ve Diğer Finansal Araçlardan Nakit Girişleri,,,,
215,,Kira Ödemeleri,,,
216,Kira Ödemeleri,,,,
217,,Alınan Kira,,,
218,Alınan Kira,,,,
219,,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Edinimi İçin Yapılan Nakit Çıkışları,,,
220,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Edinimi İçin Yapılan Nakit Çıkışları,,,,
221,,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Satılması Sonucu Elde Edilen Nakit Girişleri,,,
222,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Satılması Sonucu Elde Edilen Nakit Girişleri,,,,
223,,"İştirakler, İş Ortaklıkları ve/veya Müşterek Faaliyetlerin Sermaye Artırımına Katılımdan Kaynaklanan Nakit Çıkışları",,,
224,"İştirakler, İş Ortaklıkları ve/veya Müşterek Faaliyetlerin Sermaye Artırımına Katılımdan Kaynaklanan Nakit Çıkışları",,,,
225,,Çalışanlara Sağlanan Faydalara İlişkin Karşılıklar Kapsamında Yapılan Ödemeler,25,-113.225,-78.946
226,Çalışanlara Sağlanan Faydalara İlişkin Karşılıklar Kapsamında Yapılan Ödemeler,,,,
227,,Diğer Karşılıklara İlişkin Ödemeler,,,
228,Diğer Karşılıklara İlişkin Ödemeler,,,,
229,,Vergi İadeleri (Ödemeleri),35,-2.448.092,-724.356
230,Vergi İadeleri (Ödemeleri),,,,
231,,Diğer Nakit Girişleri (Çıkışları),,,
232,Diğer Nakit Girişleri (Çıkışları),,,,
233,,Durdurulan Faaliyetlere İlişkin Net Nakit Akışları,,,
234,Durdurulan Faaliyetlere İlişkin Net Nakit Akışları,,,,
235,,YATIRIM FAALİYETLERİNDEN KAYNAKLANAN NAKİT AKIŞLARI,,-7.319.206,-6.297.810
236,YATIRIM FAALİYETLERİNDEN KAYNAKLANAN NAKİT AKIŞLARI,,,,
237,,Bağlı Ortaklıkların Kontrolünün Kaybı Sonucunu Doğuracak Satışlara İlişkin Nakit Girişleri,,,
238,Bağlı Ortaklıkların Kontrolünün Kaybı Sonucunu Doğuracak Satışlara İlişkin Nakit Girişleri,,,,
239,,Bağlı Ortaklıkların Kontrolünün Kaybı Sonucunu Doğurmayan Satışlara İlişkin Nakit Girişleri,,,
240,Bağlı Ortaklıkların Kontrolünün Kaybı Sonucunu Doğurmayan Satışlara İlişkin Nakit Girişleri,,,,
241,,Bağlı Ortaklıkların Kontrolünün Elde Edilmesine Yönelik Alışlara İlişkin Nakit Çıkışları,3,-299.799,-5.909.727
242,Bağlı Ortaklıkların Kontrolünün Elde Edilmesine Yönelik Alışlara İlişkin Nakit Çıkışları,,,,
243,,Bağlı Ortaklıklarda İlave Pay Alımlarına ilişkin Nakit Çıkışları,,,
244,Bağlı Ortaklıklarda İlave Pay Alımlarına ilişkin Nakit Çıkışları,,,,
245,,İştiraklerin ve/veya İş Ortaklıklarının Pay Satışı veya Sermaye Azaltımı Sebebiyle Oluşan Nakit Girişleri,,,
246,İştiraklerin ve/veya İş Ortaklıklarının Pay Satışı veya Sermaye Azaltımı Sebebiyle Oluşan Nakit Girişleri,,,,
247,,İştiraklar ve/veya İş Ortaklıkları Pay Alımı veya Sermaye Artırımı Sebebiyle Oluşan Nakit Çıkışları,16,-16.603,-185.771
248,İştiraklar ve/veya İş Ortaklıkları Pay Alımı veya Sermaye Artırımı Sebebiyle Oluşan Nakit Çıkışları,,,,
249,,İştirakler ve/veya İş Ortaklıkları Sermaye Avansı Ödemelerinden Nakit Çıkışları,,,
250,İştirakler ve/veya İş Ortaklıkları Sermaye Avansı Ödemelerinden Nakit Çıkışları,,,,
251,,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Satılması Sonucu Elde Edilen Nakit Girişleri,7,3.416.324,2.285.750
252,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Satılması Sonucu Elde Edilen Nakit Girişleri,,,,
253,,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Edinimi İçin Yapılan Nakit Çıkışları,7,-1.186.654,-242.430
254,Başka İşletmelerin veya Fonların Paylarının veya Borçlanma Araçlarının Edinimi İçin Yapılan Nakit Çıkışları,,,,
255,,Maddi ve Maddi Olmayan Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,205.513,199.021
256,Maddi ve Maddi Olmayan Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,,
257,,Maddi Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,
258,Maddi Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,,
259,,Maddi Olmayan Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,
260,Maddi Olmayan Duran Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,,
261,,Maddi ve Maddi Olmayan Duran Varlıkların Alımından Kaynaklanan Nakit Çıkışları,,-7.777.988,-2.943.146
262,Maddi ve Maddi Olmayan Duran Varlıkların Alımından Kaynaklanan Nakit Çıkışları,,,,
263,,Maddi Duran Varlık Alımından Kaynaklanan Nakit Çıkışları,,,
264,Maddi Duran Varlık Alımından Kaynaklanan Nakit Çıkışları,,,,
265,,Maddi Olmayan Duran Varlık Alımından Kaynaklanan Nakit Çıkışları,,,
266,Maddi Olmayan Duran Varlık Alımından Kaynaklanan Nakit Çıkışları,,,,
267,,Yatırım Amaçlı Gayrimenkul Satımından Kaynaklanan Nakit Girişleri,,185.066,50.931
268,Yatırım Amaçlı Gayrimenkul Satımından Kaynaklanan Nakit Girişleri,,,,
269,,Yatırım Amaçlı Gayrimenkul Alımından Kaynaklanan Nakit Çıkışları,,,
270,Yatırım Amaçlı Gayrimenkul Alımından Kaynaklanan Nakit Çıkışları,,,,
271,,Satış Amacıyla Elde Tutulan Duran Varlık Satışlarından Kaynaklanan Nakit Girişleri,,,
272,Satış Amacıyla Elde Tutulan Duran Varlık Satışlarından Kaynaklanan Nakit Girişleri,,,,
273,,Satış Amacıyla Elde Tutulan Duran Varlık Alımlarından Nakit Çıkışları,,,
274,Satış Amacıyla Elde Tutulan Duran Varlık Alımlarından Nakit Çıkışları,,,,
275,,Canlı Varlık Satışından Kaynaklanan Nakit Girişleri,,,
276,Canlı Varlık Satışından Kaynaklanan Nakit Girişleri,,,,
277,,Canlı Varlık Alımından Kaynaklanan Nakit Çıkışları,,,
278,Canlı Varlık Alımından Kaynaklanan Nakit Çıkışları,,,,
279,,Diğer Uzun Vadeli Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,
280,Diğer Uzun Vadeli Varlıkların Satışından Kaynaklanan Nakit Girişleri,,,,
281,,Diğer Uzun Vadeli Varlık Alımından Kaynaklanan Nakit Çıkışları,,,
282,Diğer Uzun Vadeli Varlık Alımından Kaynaklanan Nakit Çıkışları,,,,
283,,Verilen Nakit Avans ve Borçlar,,-2.474.218,-1.361.983
284,Verilen Nakit Avans ve Borçlar,,,,
285,,İlişkili Taraflara Verilen Nakit Avans ve Borçlar,,,
286,İlişkili Taraflara Verilen Nakit Avans ve Borçlar,,,,
287,,Verilen Diğer Nakit Avans ve Borçlar,,,
288,Verilen Diğer Nakit Avans ve Borçlar,,,,
289,,Verilen Nakit Avans ve Borçlardan Geri Ödemeler,,907.765,1.229.667
